_id,name,brand,manufacturer,PriorityIndex,category,sp,margin,margin%,mrp,DealerPrice,discount,gst,weight,availability,description,imageUrl,productImageUrl
ObjectId(5ffb514e80ef0812f2708203),,,,,,,,,,,,,,,,,https://www.bigbasket.com/media/uploads/p/xxl/40201000_1-amul-ashwagandha-doodh.jpg
ObjectId(5ffb514e80ef0812f2708204),Amul Ghee ,Amul,Kaira Coop Milk Producers (Anand),8,Breakfast & Dairy,400,42.5,8.5,500,457.5,20,12,1l,Y,,https://images-na.ssl-images-amazon.com/images/I/614W4NW9UDL._SL1000_.jpg,https://images-na.ssl-images-amazon.com/images/I/61VUanxgukL._SL1000_.jpg
ObjectId(5ffb514e80ef0812f2708205),Amul Ghee Tin,Amul,Kaira Coop Milk Producers (Anand),8,Breakfast & Dairy,1960,116.75,4.765306122,2450,2333.25,20,12,5l,Y,,https://images-na.ssl-images-amazon.com/images/I/61Ypo66x5jL._SL1308_.jpg,https://images-na.ssl-images-amazon.com/images/I/61JTzdP02oL._SL1308_.jpg
ObjectId(5ffb514e80ef0812f2708206),Amul Cow Ghee Tin,Amul,Kaira Coop Milk Producers (Anand),8,Breakfast & Dairy,412,94.26,18.30291262,515,420.74,20,12,1l,Y,,https://images-na.ssl-images-amazon.com/images/I/61gPBNkYbnL._SL1439_.jpg,https://images-na.ssl-images-amazon.com/images/I/61FwJLZFQ7L._SL1000_.jpg
ObjectId(5ffb514e80ef0812f2708207),Amul Ghee Pet Jar ,Amul,Kaira Coop Milk Producers (Anand),8,Breakfast & Dairy,86,19.76,18.2962963,108,88.24,20,12,200ml,Y,,,https://seller.shoponn.in/Item/Amul%20Ghee%20jar%20200ml%20A.jpg
ObjectId(5ffb514e80ef0812f2708208),Amul Ghee  Pet Jar ,Amul,Kaira Coop Milk Producers (Anand),8,Breakfast & Dairy,204,12.525,4.911764706,255,242.475,20,12,500ml,Y,,,https://images-na.ssl-images-amazon.com/images/I/51QjJG4lFNL.jpg
ObjectId(5ffb514e80ef0812f2708209),Amul Ghee ,Amul,Kaira Coop Milk Producers (Anand),8,Breakfast & Dairy,204,21.675,8.5,255,233.325,20,12,500ml,Y,,,https://rukminim1.flixcart.com/image/416/416/j5zmw7k0/ghee/b/h/f/500-pure-tetrapack-amul-original-imaewkdebmgjxqgu.jpeg?q=70
ObjectId(5ffb514e80ef0812f270820a),Amul Cow Ghee ,Amul,Kaira Coop Milk Producers (Anand),8,Breakfast & Dairy,208,12.95,4.980769231,260,247.05,20,12,500ml,Y,,,https://images-na.ssl-images-amazon.com/images/I/613KN0fTKdL._SL1086_.jpg
ObjectId(5ffb514e80ef0812f270820b),Amul Cow Ghee Jar,Amul,Kaira Coop Milk Producers (Anand),8,Breakfast & Dairy,89,13.095,11.7972973,111,97.905,20,12,200ml,Y,,,https://res.sastasundar.com/incom/images/product/Amul-Cow-Ghee-1584603236-10071611-1.jpg
ObjectId(5ffb514e80ef0812f270820c),Amul Cow Ghee Refill,Amul,Kaira Coop Milk Producers (Anand),8,Breakfast & Dairy,408,25.05,4.911764706,510,484.95,20,12,1l,Y,,https://rukminim1.flixcart.com/image/416/416/jxtakcw0/ghee/3/r/r/1-cow-ghee-1l-pouch-pouch-amul-original-imafg6z7hejuzhts.jpeg?q=70,https://rukminim1.flixcart.com/image/416/416/jxtakcw0/ghee/3/r/r/1-cow-ghee-1l-pouch-pouch-amul-original-imafg6z2ecgvpcuh.jpeg?q=70
ObjectId(5ffb514e80ef0812f270820d),AMUL Ghee ,Amul,Kaira Coop Milk Producers (Anand),8,Breakfast & Dairy,400,24.2,4.84,500,475.8,20,12,1l,Y,,https://rukminim1.flixcart.com/image/416/416/j3nbwy80/ghee/c/k/h/1000-pure-ghee-tetrapack-amul-original-imaeuz56w3zhgqea.jpeg?q=70,https://rukminim1.flixcart.com/image/416/416/j3nbwy80/ghee/c/k/h/1000-pure-ghee-tetrapack-amul-original-imaeuz55nnzghhpr.jpeg?q=70
ObjectId(5ffb514e80ef0812f270820e),AMUL Cow Ghee ,Amul,Kaira Coop Milk Producers (Anand),8,Breakfast & Dairy,408,43.35,8.5,510,466.65,20,12,1l,Y,,,https://rukminim1.flixcart.com/image/416/416/jxtakcw0/ghee/3/r/r/1-cow-ghee-1l-pouch-pouch-amul-original-imafg6z2ecgvpcuh.jpeg?q=70
